Platform,Title,Author,Language,Architecture,Difficulty,Quality,Challenge_URL,Writeup_URL
Unix/linux etc.,Schizo,S3c_Cult,C/C++,x86-64,3,6,https://crackmes.one/crackme/698f40f1e2ba6023bfacaa82,https://crackmes.one/static/solution/69a090ab6ca15990509506c7.zip
Unix/linux etc.,selfkey,oqra1,C/C++,x86-64,2.3,4.7,https://crackmes.one/crackme/6a1f01752b3df128c1df5d6e,https://crackmes.one/static/solution/6a26991d266afadcd56fac2a.zip
Unix/linux etc.,simple crackme,marco007,C/C++,x86-64,1.3,4.3,https://crackmes.one/crackme/698a6214fb46458f1ef6cef5,https://crackmes.one/static/solution/698be76dfb46458f1ef6cf12.zip
Unix/linux etc.,SirCrackaLot v2,TheSwedishLord,Rust,x86-64,3,4,https://crackmes.one/crackme/69a07e02fb7f76ef92045c40,https://crackmes.one/static/solution/69a1ed6e0f5b9757a6a5f6e8.zip
Unix/linux etc.,The Seven Gates of Nullhaven,TheSwedishLord,C/C++,x86-64,4,4,https://crackmes.one/crackme/69a2239efbfe0ef21de945cf,https://crackmes.one/static/solution/69a41e7a18b5d7ee47093569.zip
Unix/linux etc.,The Wired,OpenWiredSource,C/C++,x86-64,2,5,https://crackmes.one/crackme/6a3720828a86e4c2c55254ec,https://crackmes.one/static/solution/6a377abc6840520e01b21f0b.zip
Unix/linux etc.,U Can't Pass,mystergaif,C/C++,x86-64,1,3.8,https://crackmes.one/crackme/69cd36983e328e778db052c2,https://crackmes.one/static/solution/69f9dcc22b3df128c1df5af7.zip
Unix/linux etc.,Use your brain,tdaron,Assembler,x86-64,4,4,https://crackmes.one/crackme/69d8fe40471059af19ad08ca,https://crackmes.one/static/solution/69ea95203fba64e45dcea897.zip
Unix/linux etc.,VaultBreaker,ShadowLegion,C/C++,x86-64,1.8,4.8,https://crackmes.one/crackme/69fba1198fab7bbca27300f2,https://crackmes.one/static/solution/6a0e306e17539b5175d1230e.zip
Unix/linux etc.,X-0-R,steve_maxwell,C/C++,x86-64,1.9,3.7,https://crackmes.one/crackme/6976041d9bf7b8997653a6cf,https://crackmes.one/static/solution/698c9abcfb46458f1ef6cf20.zip
Unspecified/other,JavyFlag,relunsec,WebAssembly,other,4,4,https://crackmes.one/crackme/6a1ec0cad7ff92e1214c0283,https://crackmes.one/static/solution/6a26ba8dee3223161ea2990c.zip
Windows,$1K Reward - AntiVM Challenge,kaganisildak,C/C++,x86-64,6,5,https://crackmes.one/crackme/6a2d0b1f5f26f108ba18b8cd,https://crackmes.one/static/solution/6a35d27f6840520e01b21eeb.zip
Windows,Adversarial Mind,White_Canary,C/C++,x86-64,1.7,4.5,https://crackmes.one/crackme/69cc0fa13e328e778db052a7,https://crackmes.one/static/solution/6a0fea9c2b3df128c1df5c4e.zip
Windows,aola,Toronto,C/C++,x86-64,1.8,4.6,https://crackmes.one/crackme/69eca77717539b5175d120a9,https://crackmes.one/static/solution/69f5f1f317539b5175d12194.zip
Windows,ASMe | ASM CrackMe,CrackNotMe,Assembler,x86-64,4,4.5,https://crackmes.one/crackme/69ff482c8fab7bbca273011e,https://crackmes.one/static/solution/6a010b533fba64e45dceaa38.zip
Windows,Babel,lastemoboy,C/C++,x86-64,3.7,4.4,https://crackmes.one/crackme/69ca6a30f2d49d8512f64bcc,https://crackmes.one/static/solution/69dfd09fb38f9259eec7eb9d.zip
Windows,Bobs gambling,prestdayzero,C/C++,x86-64,1.8,5,https://crackmes.one/crackme/69b9accff2d49d8512f64a8f,https://crackmes.one/static/solution/69bc1aeff2d49d8512f64abf.zip
Windows,BobxReal You Can't do it V2 ;),Bobx,C/C++,x86-64,4,3.8,https://crackmes.one/crackme/69991ad28c526c61da611dd0,https://crackmes.one/static/solution/6999a4e4c1756e2381cffa26.zip
Windows,cantcrack,admin31,C/C++,x86-64,2.2,4.6,https://crackmes.one/crackme/6a30eab0a4b247348ae805c4,https://crackmes.one/static/solution/6a3245bf8a86e4c2c5525490.zip
Windows,Challenge #13,fuxy,C/C++,x86,4,4,https://crackmes.one/crackme/69c66fe1f2d49d8512f64b8e,https://crackmes.one/static/solution/69cabeba49fa49a2a26022e7.zip
Windows,Challenge #5,fuxy,C/C++,x86-64,1.5,5,https://crackmes.one/crackme/69bc0fb3ddd6176826ae8a55,https://crackmes.one/static/solution/69be91086793d479be018e60.zip
Windows,Crack It!,Coder_90,C/C++,x86-64,3,4,https://crackmes.one/crackme/697e6957e04ca145cd9d13b4,https://crackmes.one/static/solution/6985abc9e2ba6023bfaca9ce.zip
Windows,crack me by whekees,whekkees,C/C++,x86-64,3,4,https://crackmes.one/crackme/69b46e26ddd6176826ae8993,https://crackmes.one/static/solution/69beb4e33e328e778db051df.zip
Windows,CrackMe By ZenithSouu,ZenithSouu,C/C++,x86-64,3.5,4,https://crackmes.one/crackme/69cfa9aef2d49d8512f64c34,https://crackmes.one/static/solution/69debaedb38f9259eec7eb87.zip
Windows,CrackMe Hard,liboxin,C/C++,x86-64,5,4,https://crackmes.one/crackme/69e9b73a471059af19ad0a36,https://crackmes.one/static/solution/69f21fa117539b5175d1213a.zip
Windows,Crackme hard,skyeiscool,C/C++,x86-64,3.3,3.7,https://crackmes.one/crackme/69cf25d0ddd6176826ae8b91,https://crackmes.one/static/solution/69d30b8649fa49a2a260235c.zip
Windows,CrackMe Hard 3,liboxin,C/C++,x86-64,4.5,4.5,https://crackmes.one/crackme/6a17264017539b5175d123a9,https://crackmes.one/static/solution/6a22f42b266afadcd56fabf5.zip
Windows,CrackMe with password,rootaccess2011,C/C++,x86-64,1.6,4,https://crackmes.one/crackme/697635e09bf7b8997653a6d8,https://crackmes.one/static/solution/69847d4bde90f62e94d90c1b.zip
Windows,CrackMe#1,iseey0u-re,C/C++,x86-64,2.2,4.8,https://crackmes.one/crackme/6a00a162d7ff92e1214c008d,https://crackmes.one/static/solution/6a06205f17539b5175d1228c.zip
Windows,CrackMeBaby2,igr0t7,C/C++,x86-64,1.2,4,https://crackmes.one/crackme/6a0bd0592b3df128c1df5c16,https://crackmes.one/static/solution/6a0ef7993fba64e45dceab31.zip
Windows,Crackmes.one RE CTF 2026 - FLRSCRNSVR.SCR,jeffli6789,C/C++,x86-64,2,4,https://crackmes.one/crackme/69a28c267a778cfffbfb67be,https://crackmes.one/static/solution/6a25365fd430083fdc5c946e.zip
Windows,CrackmesForBeginners (CFB) #1,CrackNotMe,C/C++,x86-64,2.2,4.4,https://crackmes.one/crackme/6a1547f42b3df128c1df5ca5,https://crackmes.one/static/solution/6a174926d7ff92e1214c0211.zip
Windows,CrackmesForBeginners (CFB) #2,CrackNotMe,C/C++,x86-64,2,4,https://crackmes.one/crackme/6a15496417539b5175d12386,https://crackmes.one/static/solution/6a1749543fba64e45dceabab.zip
Windows,CrackmesForBeginners (CFB) #3,CrackNotMe,C/C++,x86-64,2,4,https://crackmes.one/crackme/6a154aca8fab7bbca27302a2,https://crackmes.one/static/solution/6a174937d7ff92e1214c0213.zip
Windows,CrackmesForBeginners (CFB) #4,CrackNotMe,C/C++,x86-64,2,4,https://crackmes.one/crackme/6a154cab17539b5175d1238a,https://crackmes.one/static/solution/6a174942d7ff92e1214c0215.zip
Windows,CrYP70NYM's CrackMe 3,CrYP70NYM,C/C++,x86,4,4.5,https://crackmes.one/crackme/69eb20d78fab7bbca272ffb1,https://crackmes.one/static/solution/69f631cc3fba64e45dcea989.zip
Windows,Custom packed crackme,Kowfsun,C/C++,x86-64,4,5,https://crackmes.one/crackme/699e9639c2d74fe054b1c372,https://crackmes.one/static/solution/699f2d9f0b6d36e727710a68.zip
Windows,EasiestEver,BadEngineer,C/C++,x86-64,1.7,4.3,https://crackmes.one/crackme/697fd52a16739b40dcb5dabd,https://crackmes.one/static/solution/69807fe183deb66b1402dc0c.zip
Windows,Easy Rust crackme,rettyz,Rust,x86-64,1.8,4.2,https://crackmes.one/crackme/69ceb8986793d479be018f3f,https://crackmes.one/static/solution/69d56a84ddd6176826ae8bfc.zip
Windows,EasyVM,CorpCons,C/C++,x86-64,3.2,4.7,https://crackmes.one/crackme/69723bb7d735cd51e7a1aa78,https://crackmes.one/static/solution/69775a79ff8edcb4d738ea6d.zip
Windows,EZFTP_ByTOMUT,TihiyOmut,.NET,x86-64,1,3.7,https://crackmes.one/crackme/6a2d22756840520e01b21e3b,https://crackmes.one/static/solution/6a33cf57a4b247348ae805f7.zip
Windows,Fatmike's Crackme #10 (crackmes.one CTF 2026),Fatmike,C/C++,x86-64,2.7,5.5,https://crackmes.one/crackme/69a2c7347b3cc38c80464d8f,https://crackmes.one/static/solution/69a4a8ed7b3cc38c80464dc0.zip
Windows,"Find the decryption key | Custom packer,no virtualization",deo,C/C++,x86-64,4,6,https://crackmes.one/crackme/69fe6553d7ff92e1214c0061,https://crackmes.one/static/solution/6a07602f2b3df128c1df5bc8.zip
Windows,"Find the decryption key | Custom packer,no virtualization #2",deo,C/C++,x86-64,3.3,6,https://crackmes.one/crackme/6a00b3533fba64e45dceaa2d,https://crackmes.one/static/solution/6a03be493fba64e45dceaa5a.zip
Windows,Find The Key,MAS,C/C++,x86-64,2.3,4.3,https://crackmes.one/crackme/69de9b7a471059af19ad091e,https://crackmes.one/static/solution/69e2a536471059af19ad0955.zip
Windows,FirstCrackMe,SolitikBurmaldatik,.NET,x86-64,1,4,https://crackmes.one/crackme/6a215f53ee3223161ea298c8,https://crackmes.one/static/solution/6a2693a6d430083fdc5c9491.zip
Windows,FirstCrackMe,SimbaHDD,.NET,x86-64,2.5,4,https://crackmes.one/crackme/6a160248d7ff92e1214c01ed,https://crackmes.one/static/solution/6a16a9578fab7bbca27302ba.zip
Windows,Fixed Easy Crackme,Kanax01,C/C++,x86-64,1,4.2,https://crackmes.one/crackme/698d2206e2ba6023bfacaa4f,https://crackmes.one/static/solution/698f3f58fb46458f1ef6cf52.zip
Windows,Gadget,MAS,C/C++,x86-64,2.3,4.5,https://crackmes.one/crackme/6987dc623eb49a23d34176ed,https://crackmes.one/static/solution/698a2e68fb46458f1ef6ceee.zip
Windows,GetToKnow-v0.1,vestige46,C/C++,x86-64,1,3.8,https://crackmes.one/crackme/698c7dbfa15272fa37a80c73,https://crackmes.one/static/solution/69b058a018b5d7ee47093644.zip
Windows,GrannysQuest,SirWardrake,C/C++,x86-64,3.3,3.7,https://crackmes.one/crackme/699661243a36b6fb91ee893e,https://crackmes.one/static/solution/6998e57697b6065cb06555c5.zip
Windows,Hard CME,LongWiner123,C/C++,x86-64,4,4,https://crackmes.one/crackme/6a1daa532b3df128c1df5d3f,https://crackmes.one/static/solution/6a26c505e13aafcf3f84fa93.zip
Windows,Hard CME 2,LongWiner123,C/C++,x86-64,5,4,https://crackmes.one/crackme/6a1e809417539b5175d12423,https://crackmes.one/static/solution/6a25c9aecfb8af60da6bf9fa.zip
Windows,High cortisol,deo,C/C++,x86-64,5,4,https://crackmes.one/crackme/6a25ae31e13aafcf3f84fa7b,https://crackmes.one/static/solution/6a2a6b626840520e01b21e0b.zip
Windows,impossible console crack me,niko122,C/C++,x86-64,3.6,4.7,https://crackmes.one/crackme/69a1280d0b6d36e727710a97,https://crackmes.one/static/solution/69a1bc970f5b9757a6a5f6e4.zip
Windows,JustTry crackme,Tut,C/C++,x86,3.5,4,https://crackmes.one/crackme/69e8918b643676f8bb961dd5,https://crackmes.one/static/solution/69eb16358fab7bbca272ffac.zip
Windows,Jörmungandr,sovereign,C/C++,x86-64,4.3,5.3,https://crackmes.one/crackme/6a1f32972b3df128c1df5d7a,https://crackmes.one/static/solution/6a2680f0d430083fdc5c948d.zip
Windows,karity-crackme-B,karity,C/C++,x86-64,4,4,https://crackmes.one/crackme/6a10641e3fba64e45dceab4f,https://crackmes.one/static/solution/6a11a5e417539b5175d12349.zip
Windows,Keygen Crackme,casam,C/C++,x86,2.8,4.3,https://crackmes.one/crackme/69c53f51f2d49d8512f64b7a,https://crackmes.one/static/solution/69c94e28ddd6176826ae8b35.zip
Windows,KeyGenMe!,casam,C/C++,x86-64,3.3,4.5,https://crackmes.one/crackme/69c65c6ef2d49d8512f64b88,https://crackmes.one/static/solution/69e6de558afd9d6c48b489b1.zip
Windows,KeygenMe_3_SWD,SirWardrake,C/C++,x86-64,3,4.7,https://crackmes.one/crackme/69fa884dd7ff92e1214c0024,https://crackmes.one/static/solution/69fcc9b53fba64e45dcea9f4.zip
Windows,Leet Echo Chamber,michaelsrtsrt,C/C++,x86-64,5,5,https://crackmes.one/crackme/69e005b6eff294eb8d54264a,https://crackmes.one/static/solution/6a12e34dd7ff92e1214c01b9.zip
Windows,MCM 2.0,CrackNotMe,C/C++,x86-64,2.8,4,https://crackmes.one/crackme/698d9ebd3eb49a23d3417763,https://crackmes.one/static/solution/698f37cde2ba6023bfacaa7f.zip
Windows,MCM 5.0,CrackNotMe,C/C++,x86-64,5,5,https://crackmes.one/crackme/699da9a00b6d36e727710a49,https://crackmes.one/static/solution/69a2fb8c7a778cfffbfb67da.zip
Windows,MCM 6.0 - Project Mayhem,CrackNotMe,C/C++,x86-64,6,4.3,https://crackmes.one/crackme/69a95101fbfe0ef21de94652,https://crackmes.one/static/solution/69e542d1471059af19ad099a.zip
Windows,medium http licence crackme,plikan,.NET,x86-64,2,4.7,https://crackmes.one/crackme/69917e2d853c2615340abd81,https://crackmes.one/static/solution/6993941a32088846bc7b0bc3.zip
Windows,Mirror Vault,DonCris,C/C++,x86-64,4.5,3.5,https://crackmes.one/crackme/69b250916793d479be018d3a,https://crackmes.one/static/solution/69b497136793d479be018d73.zip
Windows,Monsignors Crackme,Monsignor,C/C++,x86-64,1,5,https://crackmes.one/crackme/6a2c80595f26f108ba18b8bd,https://crackmes.one/static/solution/6a32374d8a86e4c2c552548c.zip
Windows,Monster CrackMe 1.0 (MCM),CrackNotMe,C/C++,x86-64,4,4,https://crackmes.one/crackme/6989ed7dfb46458f1ef6cee4,https://crackmes.one/static/solution/698afe3aa79466462e957b8c.zip
Windows,My First Crackme,billy_bat,.NET,x86-64,1.2,4.5,https://crackmes.one/crackme/69e69e738afd9d6c48b489a9,https://crackmes.one/static/solution/6a226db2266afadcd56fabe5.zip
Windows,my first low-medium crack me by whekkees,whekkees,C/C++,x86-64,3,4,https://crackmes.one/crackme/69b182b8ddd6176826ae894b,https://crackmes.one/static/solution/69b40f74f2d49d8512f649f6.zip
Windows,NeuroVault,AdminX,C/C++,x86-64,3,5.7,https://crackmes.one/crackme/6a0368f48fab7bbca2730160,https://crackmes.one/static/solution/6a04788417539b5175d1226a.zip
Windows,NiTiNOL CrackMe,Kakao,C/C++,x86-64,3,4,https://crackmes.one/crackme/6a2471b2ee3223161ea298e9,https://crackmes.one/static/solution/6a268f24e13aafcf3f84fa90.zip
Windows,P4r4d0x of the P4l4nt1r,deo,C/C++,x86-64,5.8,5,https://crackmes.one/crackme/6a148dd62b3df128c1df5c9e,https://crackmes.one/static/solution/6a2a56f28a86e4c2c55253f8.zip
Windows,Pandora VM,4epuxa,C/C++,x86-64,5,5.7,https://crackmes.one/crackme/699f75850b6d36e727710a76,https://crackmes.one/static/solution/6a2909d0ece016fba513e7f3.zip
Windows,Password (Obfusacted),PlayboyPrime,C/C++,x86-64,5,3.5,https://crackmes.one/crackme/69b1ff67ddd6176826ae8960,https://crackmes.one/static/solution/69b42ccc6793d479be018d68.zip
Windows,PhantomGate,AdminX,C/C++,x86-64,4,5.3,https://crackmes.one/crackme/6a09581717539b5175d122b9,https://crackmes.one/static/solution/6a0aa52417539b5175d122da.zip
Windows,PlsCrackMe,BadEngineer,C/C++,x86-64,2.2,4.4,https://crackmes.one/crackme/697f67fe977274421cc111ef,https://crackmes.one/static/solution/6980c0c983deb66b1402dc13.zip
Windows,Project Obscura,0x3xp,C/C++,x86-64,1.5,3.9,https://crackmes.one/crackme/69774182d735cd51e7a1aadc,https://crackmes.one/static/solution/697a251e977274421cc1118b.zip
Windows,Ragnarok,sovereign,C/C++,x86-64,4,4,https://crackmes.one/crackme/697265519bf7b8997653a690,https://crackmes.one/static/solution/6977250239e9c4d85c2f9fdc.zip
Windows,razkom_v1,RAZKOM,C/C++,x86-64,4.3,5.5,https://crackmes.one/crackme/6996897b9bfe609057b02ccb,https://crackmes.one/static/solution/699b31f56ca1599050950665.zip
Windows,razkom_v1.1,RAZKOM,C/C++,x86-64,2.4,3.8,https://crackmes.one/crackme/69968b7589af4192123d7aad,https://crackmes.one/static/solution/69a3999b18b5d7ee4709355b.zip
Windows,RE02,en1gmalware,C/C++,x86-64,3.5,4,https://crackmes.one/crackme/6a1aede117539b5175d123ef,https://crackmes.one/static/solution/6a1e8bebd7ff92e1214c0280.zip
Windows,SelfKey,pyderall,C/C++,x86-64,4,4,https://crackmes.one/crackme/6985c1cca15272fa37a80c0d,https://crackmes.one/static/solution/6988b7733eb49a23d34176fb.zip
Windows,Simple login crackme,Kryptos,C/C++,x86-64,2.8,5.2,https://crackmes.one/crackme/69e13f938afd9d6c48b488fd,https://crackmes.one/static/solution/69e25d6f471059af19ad094d.zip
Windows,Simple Password Check,prestdayzero,C/C++,x86-64,3.5,4,https://crackmes.one/crackme/69c52f066793d479be018ec3,https://crackmes.one/static/solution/69f38d992b3df128c1df5a9b.zip
Windows,SimpleCrackMe,arasreal,C/C++,x86-64,1.4,4,https://crackmes.one/crackme/69b33ffcddd6176826ae8975,https://crackmes.one/static/solution/69b84a40ddd6176826ae8a1e.zip
Windows,The Alchemist's Lock,CodeBrewBeans,C/C++,x86-64,3.7,4,https://crackmes.one/crackme/69adaa15fbfe0ef21de946bd,https://crackmes.one/static/solution/69aeec637a778cfffbfb68d1.zip
Windows,The Barista's Secret,CodeBrewBeans,C/C++,x86-64,2.5,4,https://crackmes.one/crackme/69b878e2ddd6176826ae8a22,https://crackmes.one/static/solution/69b9ae08f2d49d8512f64a93.zip
Windows,TooManyChecks,White_Canary,C/C++,x86-64,3,4.5,https://crackmes.one/crackme/69761202511e37b6d1f8ed43,https://crackmes.one/static/solution/697d6dea977274421cc111c3.zip
Windows,TryBypassMe Kernel Edition,DeadEye707,C/C++,x86-64,6,6,https://crackmes.one/crackme/69db34d6b38f9259eec7eb32,https://crackmes.one/static/solution/69f3bab28fab7bbca273006e.zip
Windows,Turbine Control KeyGenMe,CrackNotMe,C/C++,x86-64,3.3,3.5,https://crackmes.one/crackme/69bd737bf2d49d8512f64adc,https://crackmes.one/static/solution/69c44425ddd6176826ae8ae8.zip
Windows,very easy crack me $$$ by whekkees,whekkees,C/C++,x86-64,1,5,https://crackmes.one/crackme/69b18b47ddd6176826ae8950,https://crackmes.one/static/solution/69cc37c6f2d49d8512f64bf3.zip
Windows,Willy Wonka's Chocolate Factory,CrackNotMe,C/C++,x86-64,2.8,5.6,https://crackmes.one/crackme/69b4768cf2d49d8512f649ff,https://crackmes.one/static/solution/69bd14903e328e778db051b3.zip
Windows,winkeygenme,Elzzie,.NET,x86-64,2,4,https://crackmes.one/crackme/6a21ed4d266afadcd56fabd9,https://crackmes.one/static/solution/6a2691d0d430083fdc5c948f.zip
Windows,ZWARE,MAS,C/C++,x86-64,4,4,https://crackmes.one/crackme/69e2a353471059af19ad0951,https://crackmes.one/static/solution/69e43f16471059af19ad096d.zip
